truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.952964	0.940208	0.945103	0.930329	0.929698	0.929698	0.757037	0.726983	0.725852	0.693362	0.668648	0.668648
0.969079	0.98061	0.96380999999999994	0.988516	0.912743	0.912743	0.779092	0.745796	0.749802	0.833156	0.710681	0.710681
0.938256	0.939183	0.928122	0.963335	0.906655	0.906655	0.729575	0.71891	0.696279	0.813134	0.691385	0.691385
0.911528	0.897612	0.897487	0.93721	0.92952	0.92952	0.800528	0.755732	0.773253	0.840447	0.752699	0.752699
0.907383	0.905921	0.89276200000000006	0.942534	0.799185	0.799185	0.810268	0.764883	0.783965	0.847121	0.737563	0.737563
0.971922	0.974929	0.96712	0.985123	0.949241	0.949241	0.846662	0.815498	0.82431	0.88272	0.83172	0.83172
0.94423	0.93343	0.935009	0.959788	0.946776	0.946776	0.772787	0.745524	0.742936	0.832966	0.686477	0.686477
0.964972	0.962496	0.959031	0.9776	0.911723	0.911723	0.840233	0.81643	0.817147	0.883221	0.805651	0.805651
0.985689	0.977424	0.983201	0.991036	0.943459	0.943459	0.772492	0.731525	0.742615	0.87433399999999994	0.704617	0.704617
0.995558	0.997581	0.994777	0.999049	0.876243	0.876243	0.753125	0.711622	0.721622	0.862806	0.717987	0.717987
